category,auc,ap
Abuse,0.89579963321276,0.002249122044316545
Arrest,0.789827476759051,0.15928071103517824
Arson,0.9467472712243193,0.17253491984185626
Assault,0.9791619686052623,0.5693452257419914
Burglary,0.9044091137705319,0.239102871303325
Explosion,0.8484741346348161,0.05218438910833666
Fighting,0.8422568477765728,0.048946589853578644
RoadAccidents,0.8423905367231639,0.020561345603424087
Robbery,0.8304824395201288,0.019853167075068737
Shooting,0.9330311062048592,0.1309198923098656
Shoplifting,0.8524566054193183,0.13621887951325656
Stealing,0.9555028662957343,0.4319540296595711
Vandalism,0.8368085044325375,0.04913226343138338
