category,auc,ap
Abuse,0.9516226242633073,0.0038028433433191598
Arrest,0.9020016264101107,0.24677395632771731
Arson,0.9704951861623478,0.29020597017747835
Assault,0.9729325401912656,0.222818719396762
Burglary,0.9500401128498068,0.5140738637681449
Explosion,0.8959659998417753,0.06525151458468982
Fighting,0.9231693914237558,0.061142701351041405
RoadAccidents,0.8640303420096852,0.025373681207161887
Robbery,0.8863329854911486,0.07739850794685173
Shooting,0.9573660188647263,0.17527412160620276
Shoplifting,0.9197773493439754,0.15037742422754108
Stealing,0.9923964863608263,0.5327425167995937
Vandalism,0.9743045536367201,0.08387038130923405
