category,auc,ap
Abuse,0.7588127845427048,0.0008787941234289389
Arrest,0.8808859704339679,0.13371056660073616
Arson,0.9423179509015966,0.15177930348031815
Assault,0.9841209371824035,0.6659071323986625
Burglary,0.9345277844193076,0.27914339034773533
Explosion,0.8920778886335801,0.05408375694598181
Fighting,0.8759739483589709,0.029068546706232438
RoadAccidents,0.8088874055978323,0.011224613654330794
Robbery,0.9333654076232494,0.06137332732033959
Shooting,0.9338772428514415,0.18432538822922476
Shoplifting,0.875772960983465,0.11831552775158366
Stealing,0.9867540222661618,0.4853779665177493
Vandalism,0.9696590070647726,0.11872020581983159
