category,auc,ap
B1,0.9608363441788212,0.7589691285845318
B2,0.9696113753242381,0.5194808192043298
B4,0.9754378765572774,0.9223400744460455
B5,0.9569594013928873,0.42270268518118803
B6,0.9515734835081114,0.43198512031654573
G,0.9718090742889469,0.6062457754534903
