category,auc,ap
Abuse,0.9190702567120895,0.005992169595110772
Arrest,0.8032614584517321,0.18217056392043768
Arson,0.9413916414920328,0.15847107769835542
Assault,0.9732804382789271,0.7534646304896742
Burglary,0.8872455069087944,0.1356369394804948
Explosion,0.839427340092302,0.048407804548006333
Fighting,0.8821799339075236,0.06937330184524217
RoadAccidents,0.8871214905453707,0.03939359764620804
Robbery,0.8764072395741315,0.029766262767193227
Shooting,0.920935757526485,0.13634629398808037
Shoplifting,0.8837029073984453,0.19510478135459816
Stealing,0.9406716252050091,0.39314812927598597
Vandalism,0.8608828284035384,0.028904547299912528
