category,auc,ap
Abuse,0.7381239963048427,0.0009302950829462398
Arrest,0.9099889633739852,0.19172607164836503
Arson,0.9499174219863677,0.2045029415112048
Assault,0.976455503249089,0.3702589481527328
Burglary,0.9298658527928542,0.18618052467039212
Explosion,0.8897441742561234,0.05996431297514215
Fighting,0.8550111297065279,0.026566374796146635
RoadAccidents,0.8366928974979823,0.013025214327615863
Robbery,0.9289025144423071,0.04444051079706733
Shooting,0.9337735995312069,0.23118320612472362
Shoplifting,0.8869647404095529,0.09877302717954785
Stealing,0.9828762460211626,0.46785960220556433
Vandalism,0.9685213419808114,0.15476952979364988
