category,auc,ap
Abuse,0.929277739015872,0.0036172848629692444
Arrest,0.754451629263601,0.1375413714061485
Arson,0.9733145556397995,0.2740181249126804
Assault,0.9776195431607857,0.43379380158407627
Burglary,0.9082008949277884,0.3293233028155449
Explosion,0.8917745644481481,0.05660051795489065
Fighting,0.9175444577162515,0.06175923240525735
RoadAccidents,0.8477807383546638,0.0219624432157962
Robbery,0.9048877316187975,0.04485226343181977
Shooting,0.9415679903349374,0.18342448315739582
Shoplifting,0.853145134579873,0.08562163367493755
Stealing,0.9761293128554129,0.23088854990784022
Vandalism,0.9836770311230585,0.10541888412069403
