category,auc,ap
Abuse,0.9877195948579625,0.024373314350035664
Arrest,0.7798112799206818,0.06311067202785879
Arson,0.9522421812131558,0.24437004008870886
Assault,0.9362897178159908,0.12269653663324305
Burglary,0.8894790819732264,0.2097698014093964
Explosion,0.8284693282828706,0.06882000088726334
Fighting,0.7666136039046334,0.018854011452491895
RoadAccidents,0.8642315771647642,0.02359663051795517
Robbery,0.7689841208389792,0.03191377523529655
Shooting,0.9273767185336823,0.14692710827287156
Shoplifting,0.8069139578119405,0.06743257704383118
Stealing,0.9659716921363355,0.19441125102355938
Vandalism,0.8297108349414386,0.045956789339412676
