category,auc,ap
Abuse,0.9451180949671021,0.0033424890416376366
Arrest,0.8699132560570662,0.21379646049254106
Arson,0.9755676452281309,0.3309080816522916
Assault,0.9874998127261114,0.59879458996818
Burglary,0.9559313351691385,0.43503329208536057
Explosion,0.8803232223330191,0.05144395620481106
Fighting,0.9306248694387294,0.09355059331523655
RoadAccidents,0.8271617015450247,0.02739436460731857
Robbery,0.8917407213821649,0.1362730735800228
Shooting,0.9590336072354422,0.2134001211256607
Shoplifting,0.9103228250137332,0.21332580945220883
Stealing,0.9908268701174618,0.44645668803286553
Vandalism,0.974397127393798,0.15335266817015308
