category,auc,ap
B1,0.9364044676864614,0.7499812421315861
B2,0.9630908417444963,0.5117764725478855
B4,0.9564714057244826,0.8704954701238722
B5,0.9317586803572488,0.24603246666630602
B6,0.9453936326059889,0.311941550548219
G,0.9765230619128553,0.4850587440404841
