category,auc,ap
Abuse,0.9826855276902928,0.01867959677503197
Arrest,0.7792911853655464,0.07716109488573407
Arson,0.9455007218654911,0.25988867908111374
Assault,0.9164379667161451,0.10559808265671462
Burglary,0.8860467235650935,0.21033826691041757
Explosion,0.8333400933334008,0.0803927069349031
Fighting,0.7266245024791156,0.016231279662423003
RoadAccidents,0.8674468357258157,0.029737396993496236
Robbery,0.7504858791704077,0.031027107851814006
Shooting,0.9256794933344796,0.1540557913277847
Shoplifting,0.7901143395269641,0.06338682511453288
Stealing,0.963405131231383,0.4366469651156426
Vandalism,0.821311388951736,0.05947507025142891
