category,auc,ap
Abuse,0.9567054144968661,0.004240399207188452
Arrest,0.9041179326585209,0.27521785269949534
Arson,0.9685427266138911,0.26812419908731777
Assault,0.9691468518255,0.18894721827361957
Burglary,0.9330597678256716,0.33797283290839486
Explosion,0.8764313184873795,0.04782004648302103
Fighting,0.9185794266469494,0.09977625429430018
RoadAccidents,0.8476457108267036,0.03399856610122687
Robbery,0.8831870808563913,0.1383617180263365
Shooting,0.9465815018877815,0.1335225899570238
Shoplifting,0.9180153543294602,0.213983268708529
Stealing,0.9910098072275615,0.3982693123428437
Vandalism,0.9734010457030149,0.12108610420181498
