category,auc,ap
Abuse,0.9743899384920016,0.02223698040969201
Arrest,0.8411234561426222,0.10326086447727492
Arson,0.9608939942897806,0.262285364267171
Assault,0.933877472042512,0.1070410700769178
Burglary,0.9179438072945518,0.1988337640140288
Explosion,0.919541502970353,0.13310315016253413
Fighting,0.7612991982145165,0.02335016859060857
RoadAccidents,0.8829387899227488,0.014789850248609859
Robbery,0.815808258025684,0.06615707483825245
Shooting,0.9362216009790582,0.16084873458369936
Shoplifting,0.8562572362794153,0.06377024997953103
Stealing,0.9751979455659274,0.44937008549787183
Vandalism,0.9818497997132078,0.10621615884634628
