category,auc,ap
Abuse,0.8269690452617793,0.014142489494177046
Arrest,0.8001273519069874,0.06967013350079049
Arson,0.9319084647055693,0.2469250441750316
Assault,0.9317288063985831,0.10505386339516556
Burglary,0.8908912898946486,0.19132967399475642
Explosion,0.9221164858052107,0.09906506532370524
Fighting,0.7460588496634062,0.01623581609487153
RoadAccidents,0.8725155475325723,0.017830368460659482
Robbery,0.8718245218414731,0.049894559600541045
Shooting,0.9218497799041464,0.14653796260428895
Shoplifting,0.8321953362199965,0.05971064309434063
Stealing,0.9671940829641892,0.3866317176252892
Vandalism,0.977584171066158,0.08629969626673319
