category,auc,ap
Abuse,0.7232283806012036,0.0011848570303219085
Arrest,0.8638503652431662,0.07035819893009221
Arson,0.9423607251560979,0.15407315952101505
Assault,0.9741487814475779,0.22862944885139957
Burglary,0.9228263328067621,0.2051749119749561
Explosion,0.8868599352113469,0.046171303350247175
Fighting,0.8316673287219983,0.022254140092141373
RoadAccidents,0.8327258445751182,0.013364373456183836
Robbery,0.9345583271513088,0.05586815075231119
Shooting,0.9214297222226946,0.12863113833406767
Shoplifting,0.8762259324532107,0.06379177508093467
Stealing,0.9750766516965303,0.20251841598458634
Vandalism,0.9721926635185622,0.15935830579774218
