Dataset,Seed,CLIP_AUC,CLIP_AP,SigLIP2_AUC,SigLIP2_AP,SO400M_AUC,SO400M_AP,Giant_AUC,Giant_AP
UCF,42,0.811182,0.211921,0.783157,0.181774,0.809292,0.199969,0.823624,0.231113
UCF,123,0.813035,0.209762,0.781463,0.183603,0.814820,0.204535,0.821741,0.210023
UCF,2024,0.811155,0.208002,0.791336,0.204394,0.809944,0.209021,0.825168,0.220312
XD,42,0.919018,0.749079,0.921824,0.768743,0.928357,0.772445,0.926637,0.757064
XD,123,0.918144,0.759045,0.916084,0.735378,0.932860,0.783552,0.935843,0.775986
XD,2024,0.911214,0.728811,0.912758,0.730792,0.923057,0.741711,0.931762,0.771632
