category,auc,ap
Abuse,0.8287264862484018,0.01983582373714666
Arrest,0.7968428791989683,0.08461291469046957
Arson,0.877573678929876,0.2539379779549123
Assault,0.911167553364417,0.09413470009568661
Burglary,0.8907317565951371,0.15422476789541245
Explosion,0.9169705944235332,0.11635302302350929
Fighting,0.6790466641281194,0.01485866852503442
RoadAccidents,0.8834978164994812,0.02185068356475884
Robbery,0.9145154466131626,0.06009681334514091
Shooting,0.90485899154538,0.142852411629953
Shoplifting,0.8212310896693263,0.06463931796003895
Stealing,0.9726476832053463,0.4310786377415314
Vandalism,0.9793903663764953,0.1013138952842227
