category,auc,ap
Abuse,0.9410297425083414,0.004722466693014621
Arrest,0.8036074113676328,0.1239105301586521
Arson,0.9734778157694057,0.2954054178671419
Assault,0.9759650305742578,0.3629960543671387
Burglary,0.9335611056237247,0.3215526281429306
Explosion,0.8895801108562807,0.05304978862446269
Fighting,0.9403167612458477,0.074121366792612
RoadAccidents,0.8814519557823128,0.027766238951736542
Robbery,0.9307347363172177,0.05388875693095754
Shooting,0.942897591003714,0.15898470495021452
Shoplifting,0.8648627547140016,0.08257198489409211
Stealing,0.9836262089790162,0.2706673770288683
Vandalism,0.9858019755582903,0.11627604830994857
