category,auc,ap
Abuse,0.9197406860987246,0.002236755021174124
Arrest,0.8448970161021746,0.1634729015950307
Arson,0.9430276426831325,0.26641256537627644
Assault,0.9813843062804617,0.6604450742888408
Burglary,0.8946164913221502,0.27186366809715484
Explosion,0.8506842179055106,0.04965906925851549
Fighting,0.8849971168872196,0.0456130244917725
RoadAccidents,0.8631036153868328,0.03006658655311488
Robbery,0.833329619425225,0.025051705874109355
Shooting,0.9321149333687411,0.16536679190631903
Shoplifting,0.8767392466201532,0.16755971324264596
Stealing,0.961051754264956,0.5429104811529389
Vandalism,0.8479305587911613,0.04343718227613621
