category,auc,ap
B1,0.9175032499028444,0.6624790508238912
B2,0.950848657090031,0.44979279044849674
B4,0.9290826715499896,0.7864598394162743
B5,0.9196587787080722,0.1051200608131795
B6,0.9379292076253244,0.28481416561577433
G,0.9516783268092941,0.3895597086432082
