category,auc,ap
Abuse,0.9713666722535782,0.013140403482484433
Arrest,0.8590149977271982,0.15463414258487157
Arson,0.9744793176002373,0.3342126203028751
Assault,0.9785514560861015,0.4452617692585784
Burglary,0.9339374906965283,0.35362376835184156
Explosion,0.8799306226258939,0.05133397237415217
Fighting,0.9349781799578472,0.07217750727717141
RoadAccidents,0.88672469517468,0.02873730730084631
Robbery,0.9291407147134552,0.056589111229369736
Shooting,0.9374185534705781,0.20169613957134594
Shoplifting,0.8639714325966985,0.12997916642009869
Stealing,0.9827615430991758,0.2450172171423803
Vandalism,0.9864608082919828,0.11791693397170286
