category,auc,ap
Abuse,0.8623644037076305,0.0020047070792336328
Arrest,0.7076817147277705,0.022567236203819886
Arson,0.7939914487642346,0.10152514722706764
Assault,0.6085478962512614,0.019948653652999904
Burglary,0.7576558301406922,0.047385210345784794
Explosion,0.819348019796346,0.07039284963978742
Fighting,0.5486775820414679,0.010727136579364154
RoadAccidents,0.7505668633979015,0.006432730535510175
Robbery,0.5101935962347665,0.007810532213333648
Shooting,0.7461759115545731,0.043281142738219
Shoplifting,0.6313460093317251,0.014213104821962363
Stealing,0.8065351925936144,0.05809271510969303
Vandalism,0.8594992199859057,0.01843048918383173
