category,auc,ap
Abuse,0.9532027132900932,0.004725214020570037
Arrest,0.8214775174684147,0.23008861731720165
Arson,0.9513809911513885,0.19229613234370313
Assault,0.9845247473988558,0.7926335176486957
Burglary,0.9026075030116656,0.1849344187337636
Explosion,0.8224927605616565,0.04833375191800594
Fighting,0.8440535574135628,0.03758453418380174
RoadAccidents,0.8586022173699988,0.02880536936412717
Robbery,0.8733272057930763,0.030709675613877215
Shooting,0.9282984006395611,0.17287885226028474
Shoplifting,0.8743188252891606,0.3164264753065949
Stealing,0.9634531327437247,0.37198014572377436
Vandalism,0.8434622525470278,0.05382269893650758
