category,auc,ap
Abuse,0.8817863922323739,0.0023850577293812133
Arrest,0.7103798990281824,0.03573548188378296
Arson,0.782765261603948,0.10387515390911972
Assault,0.680375809064688,0.024401502530930062
Burglary,0.7761681963677869,0.05186586811684908
Explosion,0.8135292535720529,0.05170017196925862
Fighting,0.6107517377002235,0.012913585866328278
RoadAccidents,0.7607320311599215,0.006548092919312861
Robbery,0.5629743114689849,0.008910812997788616
Shooting,0.7591634693547928,0.047208861131228
Shoplifting,0.6593532218009259,0.015475912200127923
Stealing,0.8155642029807433,0.054310915051881445
Vandalism,0.8628270264943706,0.021437994207598107
