category,auc,ap
Abuse,0.6474771683713243,0.0007866257252998378
Arrest,0.8906306318850808,0.13426232421628154
Arson,0.9513940563559258,0.14286502467293566
Assault,0.9767018510334273,0.2786258217370783
Burglary,0.9215175184000175,0.17885088560341839
Explosion,0.8853418944565373,0.07917414809106157
Fighting,0.8701779604319727,0.03214881640362171
RoadAccidents,0.8210410541335178,0.01064368305988004
Robbery,0.9445652280823202,0.07236536279348123
Shooting,0.9321107772786216,0.2913723071613745
Shoplifting,0.8683012706727563,0.06101046316021379
Stealing,0.9790720686889124,0.3055500317385181
Vandalism,0.9791321892828234,0.15527201870212745
