category,auc,ap
Abuse,0.942526027861798,0.004038556154531628
Arrest,0.8016633593573683,0.1209755870741762
Arson,0.9678232429112119,0.22889656535616157
Assault,0.9735934013454489,0.3756699577609898
Burglary,0.931662746996409,0.3073252156644007
Explosion,0.8960231208970788,0.053385664615385714
Fighting,0.9256854925961496,0.06469538415062154
RoadAccidents,0.8776882098178254,0.025905476362714376
Robbery,0.9178876751755567,0.04367011277686526
Shooting,0.9406449916218402,0.15275067705161857
Shoplifting,0.876743396036892,0.09028138709504706
Stealing,0.9778594876432509,0.2635727093651731
Vandalism,0.9853137440997284,0.12444591066246583
