category,auc,ap
Abuse,0.7246272198228819,0.0008659580885037115
Arrest,0.8921402349794133,0.08265676419995145
Arson,0.948785858343858,0.14006181659850753
Assault,0.9595748795744488,0.14379076941984
Burglary,0.9250305369221231,0.20044493403710878
Explosion,0.8863041421346372,0.048114495508399975
Fighting,0.8444935826072577,0.022862111358784125
RoadAccidents,0.8269254258906953,0.011379279787910836
Robbery,0.9219003080135811,0.04355528674818579
Shooting,0.9290956619004017,0.13708929064462522
Shoplifting,0.8857382158815481,0.07696242680513006
Stealing,0.9806041318598223,0.2667449776227776
Vandalism,0.9668770947982873,0.06661547326271855
