category,auc,ap
Abuse,0.7604376987901088,0.000978459747172322
Arrest,0.8528595953711545,0.10467527402448894
Arson,0.9407228210664609,0.16547656449441928
Assault,0.9612569896652625,0.15631974156339468
Burglary,0.9262202902488258,0.1784151423371694
Explosion,0.8946845417273002,0.05074996763898345
Fighting,0.8429307914212671,0.024906430653425893
RoadAccidents,0.8211069915254237,0.013722940394998856
Robbery,0.9292787210900312,0.05253018314160237
Shooting,0.9271469778885514,0.13942004129008165
Shoplifting,0.878461548157563,0.0807528335560246
Stealing,0.9797294773736351,0.22846546935511128
Vandalism,0.9744493446620935,0.1648167256350702
