backbone,method,condition,seed,auc
siglip2-giant,sar,gaussian_noise_4,123,0.5380869109107871
siglip2-giant,sar,gaussian_noise_5,123,0.5195000742501641
siglip2-giant,sar,jpeg_compression_1,123,0.49724390973189714
siglip2-giant,sar,jpeg_compression_2,123,0.3841297091222775
siglip2-giant,sar,jpeg_compression_3,123,0.38084699383957554
siglip2-giant,sar,jpeg_compression_4,123,0.38033220991783845
siglip2-giant,sar,jpeg_compression_5,123,0.4266490554250476
siglip2-giant,sar,motion_blur_1,123,0.6928493695234614
siglip2-giant,sar,motion_blur_2,123,0.7024788570006608
siglip2-giant,sar,motion_blur_3,123,0.6925324640155494
