category,auc,ap
Abuse,0.9822216841030279,0.018559494748865372
Arrest,0.839911118719777,0.09013269456465414
Arson,0.9568666007701716,0.2700816339264211
Assault,0.941355472925884,0.11122855422458394
Burglary,0.905714886080079,0.19743347159640917
Explosion,0.9276274928117805,0.12183614823261997
Fighting,0.7887550004016453,0.026669893918868374
RoadAccidents,0.8799862900668742,0.015078883500584433
Robbery,0.8087953792126686,0.05876950610694896
Shooting,0.9347906742187515,0.15920473944742547
Shoplifting,0.8387814000750573,0.06567241712171557
Stealing,0.9735800723471436,0.2623347597258181
Vandalism,0.9823039407551826,0.1043624773401582
