category,auc,ap
Abuse,0.9606607529857496,0.00523614443331003
Arrest,0.8325715455132594,0.09952135579865799
Arson,0.9790961925927975,0.32607686808073133
Assault,0.9840795552326121,0.7615713900069746
Burglary,0.9314534568276263,0.3552620308781532
Explosion,0.8941549325102203,0.05188676324217109
Fighting,0.9408613577648567,0.08094468733321307
RoadAccidents,0.886618672892886,0.028752383038315767
Robbery,0.914762625563254,0.04555371118388242
Shooting,0.944076884866641,0.18127621576243516
Shoplifting,0.8766440644805269,0.1638799685573843
Stealing,0.9814641994042601,0.2424231448885186
Vandalism,0.9827475637474006,0.09610555402553186
