category,auc,ap
Abuse,0.9341364031463407,0.0028864225811353157
Arrest,0.8382242636262522,0.16716506771563824
Arson,0.9486676812693271,0.2437936393127136
Assault,0.9836117925569339,0.7954297920066639
Burglary,0.9029978874900567,0.25123002103293474
Explosion,0.8358046228368683,0.05017679567882807
Fighting,0.8886847784204437,0.04079155188099221
RoadAccidents,0.8675559206733541,0.04587487040952449
Robbery,0.8596028460943013,0.0275381409514074
Shooting,0.9408554834694378,0.21054281944964207
Shoplifting,0.8690989764680705,0.1838679172528195
Stealing,0.9653208488527154,0.4732338842551759
Vandalism,0.845383325847615,0.019200244852741116
