category,auc,ap
Abuse,0.9801636217998692,0.015221841476641506
Arrest,0.7878914365738166,0.07834999364902435
Arson,0.9650519560676453,0.2991342296801357
Assault,0.9342154699368268,0.11128844622278865
Burglary,0.8979249074383826,0.1661697377835908
Explosion,0.9030107949579147,0.10374338335399927
Fighting,0.9338244128091431,0.07465059122437012
RoadAccidents,0.8613750108094085,0.02225367303090801
Robbery,0.8498704886780695,0.031205290228330913
Shooting,0.9327466210315858,0.14976959501339798
Shoplifting,0.8005629036115154,0.0444110296704024
Stealing,0.9656456701562923,0.41173559889468214
Vandalism,0.9788392504076863,0.09283101842332424
