category,auc,ap
Abuse,0.9498856469643581,0.003629307806957912
Arrest,0.9106364863914072,0.3084820976282074
Arson,0.9626780547654183,0.297320442765315
Assault,0.9754210761107294,0.21765730000976893
Burglary,0.9509260928416272,0.47601777198980855
Explosion,0.8907406540560187,0.056555233124511425
Fighting,0.9356963745778247,0.06638176089687359
RoadAccidents,0.8746029343940966,0.028817601568257592
Robbery,0.8790296668204061,0.07379026751663398
Shooting,0.9522654898150223,0.14686329533509557
Shoplifting,0.9101011052362938,0.27974591357176337
Stealing,0.9945958190912667,0.646045179222904
Vandalism,0.9693765862393922,0.1650040008420841
